id,problem,variant,seed,relative_l2,max_abs_error,q95_abs_error,q99_abs_error,dense_relative_l2,dense_max_abs_error,dense_q95_abs_error,dense_q99_abs_error,steps,elapsed_seconds,model_sha256
wave__local_only__44,wave,local_only,44,0.027481913342025672,0.03258565054888024,0.026605083695524,0.030249601138256782,0.027564216190567387,0.03260400855950707,0.026607824659773266,0.030250888989632574,1200,5.881479034000222,f4f0830b11ecd18e3f7c7e131ebf9b1c081dea22221c32418a7365bd855de239
wave__global_only__44,wave,global_only,44,0.13121757579344315,0.17477960573587126,0.13285661291920786,0.1621816439904119,0.13114695787288996,0.17481570360809218,0.13277204596992828,0.16095743177781685,1200,8.41324454399728,89406616638eb7dcefb334f25986d69e73bb5d5c7926f7ab7052aa36c242bbf1
allen_cahn__full_quad__44,allen_cahn,full_quad,44,0.02835833404425346,0.043960926280037504,0.027957660509056542,0.03868925130910372,0.028085758915204095,0.04396392952417644,0.027758147453347592,0.03830102782675732,1200,7.21661156400296,4bfcbf9de36da5cad99817eaf2d92a2cee52c42af4f477f56e72cf8b0e6cae41
allen_cahn__neither__44,allen_cahn,neither,44,0.042879063532044785,0.09260018614303261,0.0480358986850859,0.07586922710172136,0.042213817534340316,0.0926629417150992,0.04734298079197968,0.07476618754708547,1200,4.379837938999117,5000a331161718c166a50e15979ff9144577b1e0d92297a3211408db094e582f
helmholtz__neither__44,helmholtz,neither,44,0.08758998261351715,0.1674848760764111,0.07503804545518326,0.10297479022688645,0.08654435255712416,0.1674848760764111,0.07419531219293651,0.10161863297492267,3000,36.08022089899896,c05f212c871ef0564cf1655d0e1d652a075628df039d6534d70444579bcc4f6d
burgers__full_exp__44,burgers,full_exp,44,0.3543495950992508,1.9342284848780928,0.025153641258475856,1.5611934503371616,0.35535703654932116,1.9398641507950833,0.024581135343854754,1.5607177785170303,5000,67.45980655600215,aee275c347c43b46921dcaacd2ec72dbc20e8d19043568b65a011e3ff8f46a9c
burgers__local_only__44,burgers,local_only,44,0.19787312610918828,1.758084069353955,0.041812565263084744,0.566878669007209,0.20040871719864745,1.7585957920738122,0.04233005732471595,0.5264679093226814,5000,42.94773960800012,cda5f985fd09907c9ae35d8c1bdf2c5c14c0d1dd3e220d817e1d638f3102ef58
helmholtz__full_quad__44,helmholtz,full_quad,44,0.008685577006902787,0.008701410673686386,0.0076897015647116596,0.008406529492308495,0.008638250502924133,0.008701557194798962,0.007686501072088292,0.008394840748605581,3000,56.53810035499919,0f5122c4bfe50c0904bd8ae2a92e808b651bae5f4de73d5d67766e1563fbd4e1
helmholtz__full_exp__44,helmholtz,full_exp,44,0.003924905958272573,0.004351795146265434,0.003522568662531435,0.004054698512287402,0.003899198218329827,0.004351795146265434,0.003511082096100668,0.004042357266723582,3000,56.98287456000253,d1941a4d7f0ab1776ed19d617959470b811b26d75ab71d05e742740d5667fa87
allen_cahn__full_exp__44,allen_cahn,full_exp,44,0.04197129239274773,0.06233635221873732,0.04364670207576196,0.056585571405510925,0.041659321193468275,0.06233635221873732,0.04337296799238144,0.056053872367471363,1200,7.173764015999041,4310a3e738338a075cb159aa44bcd301181eeb6747d302ad6052a228cc391bc0
wave__full_exp__44,wave,full_exp,44,0.028047132367469554,0.03226247794006465,0.027852693023928954,0.030042874597849573,0.02811910783991277,0.03226849441118107,0.027883588858150843,0.029997554774027574,1200,10.0710234879989,aeac24aed0b3123e44a0bebf64edb5938ff17234b5a2cab0b51d5610c938abb1
