id,problem,variant,seed,l2_original_budget,l2_double_budget,l2_difference,maximum_original_budget,maximum_double_budget
wave__neither__88,wave,neither,88,0.3400079466189567,0.13170275377256582,-0.2083051928463909,0.42077239442581044,0.1852575509412887
burgers__neither__88,burgers,neither,88,0.28227992255791795,0.25328097116482695,-0.028998951393091,0.9990082473094305,1.0366061880282564
wave__local_only__88,wave,local_only,88,0.2134784960460808,0.026145674150996046,-0.18733282189508474,0.2878866057142708,0.03329474766623858
wave__full_quad__88,wave,full_quad,88,0.16307971871293298,0.026829799212477856,-0.13624991950045512,0.23021672901801538,0.032098323497243564
allen_cahn__full_quad__88,allen_cahn,full_quad,88,0.040021803392714446,0.034836999491308716,-0.0051848039014057296,0.06828876807254819,0.046949213786173505
wave__global_only__88,wave,global_only,88,0.35033566603802835,0.16321079404643976,-0.1871248719915886,0.42743648848334564,0.2226632004362945
allen_cahn__local_only__88,allen_cahn,local_only,88,0.04258668645387957,0.03640322346028363,-0.006183462993595942,0.07609317677318667,0.06293159414651867
burgers__full_quad__88,burgers,full_quad,88,0.23089004302313573,0.143720849734981,-0.08716919328815473,1.0366326857386359,1.4243593722051315
helmholtz__full_quad__88,helmholtz,full_quad,88,0.05876657525697622,0.05734546583594273,-0.0014211094210334896,0.1545241215094484,0.05542492203307885
helmholtz__local_only__88,helmholtz,local_only,88,0.11683804736931869,0.0505843418738,-0.06625370549551868,0.1453834426679495,0.10050471829473076
allen_cahn__global_only__88,allen_cahn,global_only,88,0.04975883970725255,0.038404393857236346,-0.011354445850016201,0.09172964455061172,0.06779658974065206
allen_cahn__full_exp__88,allen_cahn,full_exp,88,0.03865458841557945,0.0323594633117252,-0.00629512510385425,0.06691639855564435,0.054883009220447254
burgers__global_only__88,burgers,global_only,88,0.2784455821479516,0.25487546188807403,-0.02357012025987759,0.9576510260524214,1.0659930423461899
wave__full_exp__99,wave,full_exp,99,0.16422982886945006,0.02375627805822179,-0.14047355081122828,0.23261932206718294,0.029200423077458626
wave__full_quad__99,wave,full_quad,99,0.13409590727170292,0.020956167070980577,-0.11313974020072234,0.19056846150734397,0.027216570024651277
helmholtz__full_quad__99,helmholtz,full_quad,99,0.023027190258583956,0.02004960487041812,-0.002977585388165834,0.041521704310009885,0.019691999701180705
wave__global_only__99,wave,global_only,99,0.2671548075849869,0.09805019524718821,-0.16910461233779867,0.533195916930831,0.1780103453254681
burgers__global_only__99,burgers,global_only,99,0.22683815459621015,0.23610339577885214,0.009265241182641992,1.6747584962728208,1.7815307326516436
helmholtz__full_exp__99,helmholtz,full_exp,99,0.018531175335824865,0.0030896380728753395,-0.015441537262949525,0.029869234785101388,0.005178599985830283
helmholtz__neither__99,helmholtz,neither,99,0.10819341921360077,0.0820563188052016,-0.026137100408399172,0.20794511480096564,0.16929479521635285
wave__neither__99,wave,neither,99,0.2644879960793309,0.08086378238384993,-0.18362421369548093,0.5289373682346052,0.15253855891596646
burgers__full_exp__99,burgers,full_exp,99,0.16445134425591823,0.1624623760469708,-0.0019889682089474225,1.486651285856793,1.504520477066539
allen_cahn__full_quad__99,allen_cahn,full_quad,99,0.034979863899823715,0.022935922065093258,-0.012043941834730457,0.061810419009862394,0.05120951635998422
helmholtz__local_only__99,helmholtz,local_only,99,0.09353773997372199,0.02802129552522635,-0.06551644444849564,0.13175423818399845,0.04126698246493424
burgers__neither__99,burgers,neither,99,0.22636930225045285,0.23319912322851916,0.006829820978066309,1.674811835838784,1.7693835366883524
wave__local_only__99,wave,local_only,99,0.16682554881506495,0.02206577095603663,-0.14475977785902833,0.23178619596626326,0.027124248281904517
allen_cahn__local_only__99,allen_cahn,local_only,99,0.03567561245492099,0.021849709312450765,-0.013825903142470227,0.08289691438995128,0.050481053027991274
burgers__local_only__99,burgers,local_only,99,0.22429513584393396,0.21434691597541716,-0.009948219868516794,1.7720885583112822,1.761280074830355
allen_cahn__global_only__99,allen_cahn,global_only,99,0.06557985673230726,0.0266792666759181,-0.03890059005638916,0.12693518811441418,0.062305755131011886
allen_cahn__full_exp__99,allen_cahn,full_exp,99,0.03212114678797317,0.026948276774601782,-0.005172870013371387,0.07118495539711095,0.05881152612871088
helmholtz__global_only__99,helmholtz,global_only,99,0.07837582381065582,0.018956079821282727,-0.059419743989373094,0.16900871702507153,0.021862104208877294
burgers__full_quad__99,burgers,full_quad,99,0.14577044521527363,0.14872050103956058,0.0029500558242869512,1.3967556747860554,1.429574450380977
allen_cahn__neither__99,allen_cahn,neither,99,0.07962427801914461,0.025841596837640236,-0.05378268118150437,0.1475999924035324,0.06217701052675634
