experiment,label,problem,method,seed,status,failure_reason,relative_l2,max_abs_error,controller_weight_tv_per_update,temporal_mean_gradient_distribution_tv,temporal_mean_physics_gradient_log_gap,elapsed_seconds,residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_max,kde_pairwise_distance_evaluations,bias_concentration_correlation,n_observations,noise_kind,noise_level,run_dir
sparse_noisy_h10,Burgers bruité — KDE 1×Scott,burgers,vw,33,succeeded,,0.5693145602143137,1.2059639958070227,0.0,0.040869066552966134,0.2159210981185148,2.035241286999735,190976,0.758108696039156,0.9999999999999998,4.2445051880536,1638400,0.6936984858973393,13,gaussian,0.1,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/vw_bandwidth_sparse_noisy_h10_v1/vw/seed_00033
sparse_noisy_h10,Burgers bruité — KDE 1×Scott,burgers,vw,44,succeeded,,0.5425243883485709,1.1379977817700873,0.0,0.08717905227062897,0.18477755918372218,2.132994752000286,190976,0.808618141567951,1.0000000000000002,3.2225633040779513,1638400,0.1873348446029642,13,gaussian,0.1,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/vw_bandwidth_sparse_noisy_h10_v1/vw/seed_00044
sparse_noisy_h10,Burgers bruité — KDE 1×Scott,burgers,vw,55,succeeded,,0.5543302786311717,1.243899337615682,0.0,0.033399823256327885,0.14996778760405222,2.383433395999873,190976,0.8322661779566622,0.9999999999999999,3.0796742158790775,1638400,0.2173736872793383,13,gaussian,0.1,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/vw_bandwidth_sparse_noisy_h10_v1/vw/seed_00055
sparse_noisy_h10,Burgers bruité — KDE 1×Scott,burgers,vw,66,succeeded,,0.5172684951836849,0.9860685827427108,0.0,0.0825865516525445,0.1231203052820612,3.150294061000295,190976,0.8036327537881027,1.0,2.95306755842622,1638400,0.3002374477038373,13,gaussian,0.1,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/vw_bandwidth_sparse_noisy_h10_v1/vw/seed_00066
sparse_noisy_h10,Burgers bruité — KDE 1×Scott,burgers,vw,77,succeeded,,0.4932907797632676,0.9549192600925323,0.0,0.10255801567871321,0.32248051918911186,2.5714103959999193,190976,0.7364877708575525,1.0,4.374853498877338,1638400,0.5595825865864013,13,gaussian,0.1,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/vw_bandwidth_sparse_noisy_h10_v1/vw/seed_00077
sparse_noisy_h10,Burgers bruité — KDE 1×Scott,burgers,vw,88,succeeded,,0.5148399751542821,0.9898400037781002,0.0,0.09150023443981875,0.36898273655561126,2.389728835999904,190976,0.7639262188807466,1.0000000000000002,4.6548964649039135,1638400,0.7789148193926289,13,gaussian,0.1,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/vw_bandwidth_sparse_noisy_h10_v1/vw/seed_00088
sparse_noisy_h10,Burgers bruité — KDE 1×Scott,burgers,vw,99,succeeded,,0.5096429715462707,1.0232416428445297,0.0,0.07972640576966444,0.22244750242801384,2.1480842539999685,190976,0.8099854335953335,1.0,3.3721750839888287,1638400,0.5277238826897843,13,gaussian,0.1,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/vw_bandwidth_sparse_noisy_h10_v1/vw/seed_00099
sparse_noisy_h10,Burgers bruité — KDE 1×Scott,burgers,vw,111,succeeded,,0.535188757862178,1.1377502128866905,0.0,0.07506180406504079,0.35442215859130644,2.0327048959998137,190976,0.7921743972590874,1.0,4.227092550526509,1638400,0.6430242682639955,13,gaussian,0.1,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/vw_bandwidth_sparse_noisy_h10_v1/vw/seed_00111
sparse_noisy_h10,Burgers bruité — KDE 1×Scott,burgers,vwca,11,succeeded,,0.5297686621661355,0.9818493208372774,0.05552058656318689,0.06903751480824295,0.33578642010297394,2.170285760999832,197376,0.7741169373486829,1.0,3.7439110076667452,1638400,0.727409665729933,13,gaussian,0.1,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/vw_bandwidth_sparse_noisy_h10_v1/vwca/seed_00011
sparse_noisy_h10,Burgers bruité — KDE 1×Scott,burgers,vwca,22,succeeded,,0.4898949851217156,0.9046267027277195,0.08548692603303865,0.11265191125230942,0.3769179916840935,2.1775551460000315,197376,0.8641136542541925,1.0,2.1978165553438767,1638400,0.5100953128734774,13,gaussian,0.1,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/vw_bandwidth_sparse_noisy_h10_v1/vwca/seed_00022
sparse_noisy_h10,Burgers bruité — KDE 1×Scott,burgers,vwca,33,succeeded,,0.6593109613197347,1.1208255619263494,0.0922081315517876,0.02044200190377863,0.137181490049114,2.3322160389998317,197376,0.8135432270170373,1.0,3.3068651092402988,1638400,0.3584916123876918,13,gaussian,0.1,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/vw_bandwidth_sparse_noisy_h10_v1/vwca/seed_00033
sparse_noisy_h10,Burgers bruité — KDE 1×Scott,burgers,vwca,44,succeeded,,0.5844689480771815,1.0314559905135385,0.0886231778170438,0.06605892013757136,0.17993382089053583,2.2316738360000272,197376,0.7904593257332815,0.9999999999999998,4.356108536220524,1638400,0.2380736869340269,13,gaussian,0.1,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/vw_bandwidth_sparse_noisy_h10_v1/vwca/seed_00044
sparse_noisy_h10,Burgers bruité — KDE 1×Scott,burgers,vwca,55,succeeded,,0.619765480427172,1.1966109179748905,0.05641233030977829,0.029466190545992595,0.17248295109265302,2.2418198599998505,197376,0.8040092278946437,1.0,2.911916837565702,1638400,0.2042884810011101,13,gaussian,0.1,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/vw_bandwidth_sparse_noisy_h10_v1/vwca/seed_00055
