id,problem,variant,seed,status,relative_l2,max_abs_error,q95_abs_error,q99_abs_error,dense_relative_l2,dense_max_abs_error,dense_q95_abs_error,dense_q99_abs_error,refined_relative_l2,refined_max_abs_error,refined_q95_abs_error,refined_q99_abs_error,physics_rms_independent,physics_max_independent,peak_coord_0,peak_coord_1,elapsed_seconds,process_cpu_seconds,process_peak_rss_bytes,controller_weight_tv,controller_updates
allen_cahn__full_exp__44,allen_cahn,full_exp,44,succeeded,0.041501257812926906,0.0752146001507501,0.045049925293884824,0.06274143525597059,0.04090288386369347,0.0752146001507501,0.044439894700454674,0.06220942015768233,0.04090288386369347,0.0752146001507501,0.044439894700454674,0.06220942015768233,0.057928433987337644,0.5046536618836674,1.0,0.36,4.164347329000066,5.241183088,840990720,0.6993123486236832,600
allen_cahn__local_only__44,allen_cahn,local_only,44,succeeded,0.040207154012272366,0.06862419647343132,0.04393701819871043,0.06085532580965583,0.03956747519372616,0.06862419647343132,0.04334672249033078,0.06015529447967222,0.03956747519372616,0.06862419647343132,0.04334672249033078,0.06015529447967222,0.05945889685114719,0.5591665679402011,1.0,0.33999999999999997,2.509522923000077,3.687241583,840339456,0.0,0
allen_cahn__full_quad__55,allen_cahn,full_quad,55,succeeded,0.03366667833164273,0.05534873061470136,0.03572905477145913,0.04801632019275118,0.033260272719181874,0.05534873061470136,0.03544858738626633,0.04767482956612007,0.033260272719181874,0.05534873061470136,0.03544858738626633,0.04767482956612007,0.05027762285361196,0.2470199598060046,1.0,0.44,4.358751564000158,5.451495731,841306112,0.648004935619243,600
allen_cahn__neither__55,allen_cahn,neither,55,succeeded,0.08049617409023048,0.13667295544305424,0.08090635172140064,0.11090999137904137,0.0792159125501489,0.13670996120721357,0.07953240153831083,0.10918308341725691,0.0792159125501489,0.13670996120721357,0.07953240153831083,0.10918308341725691,0.11343126022294495,0.7141334650438338,0.0,0.63,3.6920313709999846,5.074737399,842280960,0.0,0
allen_cahn__global_only__55,allen_cahn,global_only,55,succeeded,0.06986447118559501,0.13278666026958474,0.07170593018169696,0.1061809595011472,0.06874620447640833,0.13278666026958474,0.0704956587301449,0.10397392702290942,0.06874620447640833,0.13278666026958474,0.0704956587301449,0.10397392702290942,0.10917888357068783,0.7725139282718624,0.0,0.64,3.8221430139999484,5.057005576,841420800,0.843130683492618,600
allen_cahn__local_only__55,allen_cahn,local_only,55,succeeded,0.03607583817191095,0.06079860599129833,0.03227120106273159,0.048050691730173706,0.03581515048051221,0.06079860599129833,0.03175777934732066,0.04793446279836222,0.03581515048051221,0.06079860599129833,0.03175777934732066,0.04793446279836222,0.06754361168720582,0.28420704331817304,1.0,-0.36,2.5797979349999878,3.8406874570000005,840261632,0.0,0
allen_cahn__full_exp__55,allen_cahn,full_exp,55,succeeded,0.04385732949015722,0.05581522107849746,0.038772369405456725,0.04691068926825373,0.043645639881594464,0.05587362423913611,0.038679670233746855,0.04659466623852854,0.043645639881594464,0.05587362423913611,0.038679670233746855,0.04659466623852854,0.07077658372186099,0.3247984784223953,1.0,-0.29,3.9694169239999155,5.205239632,841625600,0.6401259021090633,600
allen_cahn__global_only__66,allen_cahn,global_only,66,succeeded,0.042074788535734264,0.09800793464779577,0.04271568530818631,0.06425405101447346,0.04133967088634789,0.09800793464779577,0.04193953421511343,0.06270261920820559,0.04133967088634789,0.09800793464779577,0.04193953421511343,0.06270261920820559,0.0780360816393182,0.7375790924403847,0.0,1.0,3.865368976000127,5.061227913,842080256,0.8528937388711872,600
allen_cahn__local_only__66,allen_cahn,local_only,66,succeeded,0.040020012379603516,0.06118492725027458,0.03749735247213508,0.05326897303859661,0.03980621718548855,0.06125560251286721,0.037290236884624545,0.053313530821183286,0.03980621718548855,0.06125560251286721,0.037290236884624545,0.053313530821183286,0.06686436623398237,0.3385265511734024,1.0,-0.26999999999999996,2.4862959170000067,3.73209413,840359936,0.0,0
allen_cahn__full_quad__66,allen_cahn,full_quad,66,succeeded,0.03975865785431758,0.053388693567583245,0.03582145112078908,0.04640221163058292,0.03957112149851333,0.053388693567583245,0.03560979965612637,0.04571606116783061,0.03957112149851333,0.053388693567583245,0.03560979965612637,0.04571606116783061,0.060699992239638276,0.39014440213609564,1.0,0.3,4.116295450000052,5.30596473,840818688,0.8010203181260511,600
allen_cahn__neither__66,allen_cahn,neither,66,succeeded,0.05276428062354452,0.11852398608213834,0.05100099718044704,0.08317897664740842,0.05188774923257762,0.11852398608213834,0.05005750762713568,0.08168573806067103,0.05188774923257762,0.11852398608213834,0.05005750762713568,0.08168573806067103,0.09404818601482703,0.8649411457471274,0.0,1.0,3.2521531449999657,4.818430409,840298496,0.0,0
allen_cahn__full_exp__66,allen_cahn,full_exp,66,succeeded,0.06106400175123674,0.08006865902466231,0.055880831042013426,0.07058087991223677,0.06078324265601245,0.08008717014491701,0.05538381133176978,0.06984351198689576,0.06078324265601245,0.08008717014491701,0.05538381133176978,0.06984351198689576,0.08757930696248596,0.36910066836808736,1.0,0.31,5.42433647200005,6.753377567,840847360,0.7670707670407837,600
allen_cahn__neither__77,allen_cahn,neither,77,succeeded,0.05498148765745092,0.10042700864728948,0.05326775076531279,0.08285431445435211,0.05413432742313079,0.10051224087496835,0.052498743469586384,0.081000988117099,0.05413432742313079,0.10051224087496835,0.052498743469586384,0.081000988117099,0.0895827401222045,0.721457273512534,0.0,-0.63,2.6154603970001062,3.812079649,840204288,0.0,0
allen_cahn__full_quad__77,allen_cahn,full_quad,77,succeeded,0.030977589726660343,0.05110396855606619,0.03332905335126626,0.044663993165456994,0.03060387084082415,0.05110396855606619,0.03299574383732751,0.04443618721503953,0.03060387084082415,0.05110396855606619,0.03299574383732751,0.04443618721503953,0.049716987034886535,0.42728069040175615,1.0,-0.74,4.384784846999992,5.875584821,841445376,1.0632971949207697,600
allen_cahn__local_only__77,allen_cahn,local_only,77,succeeded,0.03430225582093396,0.06893878027096302,0.03368672031862349,0.04152213300653412,0.03390343380926612,0.06893878027096302,0.03341133426865488,0.04102594773382531,0.03390343380926612,0.06893878027096302,0.03341133426865488,0.04102594773382531,0.06467745545571899,0.5717747843757097,0.0,1.0,3.1787550589999682,4.435853967,840937472,0.0,0
allen_cahn__global_only__77,allen_cahn,global_only,77,succeeded,0.049519477367147686,0.090956375935609,0.04745360069925303,0.06983338136569711,0.04876971626861639,0.090956375935609,0.04692892670437576,0.06804605493236637,0.04876971626861639,0.090956375935609,0.04692892670437576,0.06804605493236637,0.08395163186861568,0.6978361556027226,0.0,1.0,3.7005653830001393,5.168001123,842473472,1.164751133488201,600
allen_cahn__full_exp__77,allen_cahn,full_exp,77,succeeded,0.03215957773782048,0.053649700887704765,0.03210856669412669,0.04448305047183268,0.03177016862171871,0.053649700887704765,0.031619752830489845,0.04392466459338579,0.03177016862171871,0.053649700887704765,0.031619752830489845,0.04392466459338579,0.05365290761994565,0.46967412550200943,1.0,-0.78,3.7959949160001543,4.921417196,840593408,0.9189319806701017,600
allen_cahn__neither__88,allen_cahn,neither,88,succeeded,0.05560189027255856,0.11973992642078102,0.052002543060939155,0.0902214798243483,0.054720400423139116,0.11986008498653355,0.050729766667403586,0.08805372791231958,0.054720400423139116,0.11986008498653355,0.050729766667403586,0.08805372791231958,0.09143202647732221,0.42947072054313173,0.0,0.61,2.527813864000109,3.8803558669999996,842874880,0.0,0
allen_cahn__local_only__88,allen_cahn,local_only,88,succeeded,0.04258668645387957,0.07609317677318667,0.04184676894937964,0.06271650149323885,0.04222337264576811,0.07609317677318667,0.04147848438036844,0.06215160937548303,0.04222337264576811,0.07609317677318667,0.04147848438036844,0.06215160937548303,0.06917708379424464,0.40833957211768807,1.0,-0.78,3.4100149260000308,8.251978484,843931648,0.0,0
allen_cahn__full_quad__88,allen_cahn,full_quad,88,succeeded,0.040021803392714446,0.06828876807254819,0.03898407183265108,0.05683705340180892,0.03969187977919619,0.06828876807254819,0.038678001948527246,0.056424610972696826,0.03969187977919619,0.06828876807254819,0.038678001948527246,0.056424610972696826,0.06488892856350609,0.41911386924303523,1.0,-0.76,3.967063129000053,5.101828556,841084928,0.8071777323355884,600
allen_cahn__global_only__88,allen_cahn,global_only,88,succeeded,0.04975883970725255,0.09172964455061172,0.049180919182660154,0.07055448792893015,0.049011349086658246,0.09178122961008661,0.048131227912870944,0.06930231393049924,0.049011349086658246,0.09178122961008661,0.048131227912870944,0.06930231393049924,0.08308364471041048,0.43698050747826633,0.0,0.61,4.1257586239999,5.257079974000001,840065024,1.0396597597990895,600
allen_cahn__full_exp__88,allen_cahn,full_exp,88,succeeded,0.03865458841557945,0.06691639855564435,0.03783799180107977,0.05468569627230421,0.03832140728739331,0.06691639855564435,0.0377032092153059,0.05455419228674635,0.03832140728739331,0.06691639855564435,0.0377032092153059,0.05455419228674635,0.066369748480671,0.39931205551421384,1.0,-0.78,3.9781720210000913,5.267748685,842113024,0.7953921899888254,600
allen_cahn__neither__99,allen_cahn,neither,99,succeeded,0.07962427801914461,0.1475999924035324,0.08485065504804545,0.11360724598157623,0.0784120446511201,0.1475999924035324,0.08366412048610897,0.11188866500103367,0.0784120446511201,0.1475999924035324,0.08366412048610897,0.11188866500103367,0.12670820979044453,0.8352728690889459,0.0,0.64,2.737690660999988,4.049605594,840818688,0.0,0
allen_cahn__full_quad__99,allen_cahn,full_quad,99,succeeded,0.034979863899823715,0.061810419009862394,0.032274643568020706,0.045501105519978546,0.03454546359928601,0.06182719892041694,0.03153349709477404,0.044762135339703996,0.03454546359928601,0.06182719892041694,0.03153349709477404,0.044762135339703996,0.062401316611055996,0.48454025031490394,1.0,0.24999999999999997,3.668244174999927,5.028096638000001,840155136,0.6835987598332365,600
allen_cahn__local_only__99,allen_cahn,local_only,99,succeeded,0.03567561245492099,0.08289691438995128,0.03644960522420354,0.060385266577481944,0.03512478205342462,0.08289691438995128,0.035856419924643834,0.05944016325124368,0.03512478205342462,0.08289691438995128,0.035856419924643834,0.05944016325124368,0.0710649540825339,0.6922490888238242,0.0,1.0,2.4209899649999898,3.6977148589999995,840294400,0.0,0
allen_cahn__global_only__99,allen_cahn,global_only,99,succeeded,0.06557985673230726,0.12693518811441418,0.07017572469484443,0.09813511792745033,0.06458780410933374,0.12709953667097207,0.06905416240658738,0.09535358425837603,0.06458780410933374,0.12709953667097207,0.06905416240658738,0.09535358425837603,0.1150646745802194,0.8236410223188604,0.0,0.65,3.207225216000097,4.502260183000001,840548352,0.8305041949927485,600
allen_cahn__full_exp__99,allen_cahn,full_exp,99,succeeded,0.03212114678797317,0.07118495539711095,0.03372756011784907,0.05329288898427773,0.03159480906542219,0.07118495539711095,0.03317175729737887,0.052638006171724455,0.03159480906542219,0.07118495539711095,0.03317175729737887,0.052638006171724455,0.06439391451360478,0.6285696470368727,0.0,1.0,4.980393800000002,6.195988398,841158656,0.6455924513830766,600
allen_cahn__local_only__111,allen_cahn,local_only,111,succeeded,0.037482328846452695,0.06296409195668023,0.037460992038816296,0.05074660353974386,0.0369787833436151,0.06296409195668023,0.03687534901477918,0.05009513208291427,0.0369787833436151,0.06296409195668023,0.03687534901477918,0.05009513208291427,0.06093613523112151,0.4841581842422601,1.0,-0.33999999999999997,3.4129508330001954,4.61910578,840069120,0.0,0
allen_cahn__full_exp__111,allen_cahn,full_exp,111,succeeded,0.036356104431845004,0.05712712332466818,0.03596009036871835,0.04926715343201357,0.03589056694762807,0.05712712332466818,0.03539847195130985,0.04889814297758571,0.03589056694762807,0.05712712332466818,0.03539847195130985,0.04889814297758571,0.05731237214603946,0.4333590504909094,1.0,0.52,4.804207455000096,5.923946785,840626176,0.7695775885061193,600
allen_cahn__full_quad__111,allen_cahn,full_quad,111,succeeded,0.03647918067732464,0.07012005751931571,0.037352567881296456,0.05404161543238789,0.0360323059848122,0.07015482927541733,0.03685405358591265,0.05356043952856471,0.0360323059848122,0.07015482927541733,0.03685405358591265,0.05356043952856471,0.053683670209897026,0.43125304798779407,1.0,-0.37,5.282548786999996,6.547295838,840634368,0.8108349190257573,600
allen_cahn__global_only__111,allen_cahn,global_only,111,succeeded,0.048383695273054875,0.1259012543639457,0.0520897253678565,0.08314695696935037,0.047418590694314575,0.1259012543639457,0.051316149383578646,0.0813984769613606,0.047418590694314575,0.1259012543639457,0.051316149383578646,0.0813984769613606,0.09588276944344684,0.9104152379190497,0.0,-1.0,3.981757774000016,5.635645578,840253440,1.0933528446309861,600
allen_cahn__neither__111,allen_cahn,neither,111,succeeded,0.062274830628416156,0.1355064053842108,0.06530546965201178,0.10374570731071237,0.06126630535028241,0.1355064053842108,0.06389564981723839,0.10242786980004204,0.06126630535028241,0.1355064053842108,0.06389564981723839,0.10242786980004204,0.10713521761759204,0.9247783432972329,0.0,-1.0,2.5071588300002077,3.6872302359999996,841310208,0.0,0
helmholtz__global_only__11,helmholtz,global_only,11,succeeded,0.11216395293316983,0.18439771442824482,0.10548445383804594,0.1495972690533786,0.11091937696189665,0.18439771442824482,0.10448552537537391,0.14775428131528154,0.11091937696189665,0.18439771442824482,0.10448552537537391,0.14775428131528154,0.12281829775349172,0.4536830005675307,1.0,1.0,29.244941371999857,32.728116093,875175936,2.3193775290566148,1500
helmholtz__full_exp__11,helmholtz,full_exp,11,succeeded,0.04322998812473871,0.04932012140357788,0.03596982645419489,0.04396322518359727,0.0429453796220486,0.049327363088949694,0.035866568118211595,0.04378765562461629,0.0429453796220486,0.049327363088949694,0.035866568118211595,0.04378765562461629,0.10231909067025079,0.8350964620641196,0.455,1.0,30.482130585999812,31.787356489,877871104,4.334045700187112,1500
helmholtz__full_quad__11,helmholtz,full_quad,11,succeeded,0.019103172045393822,0.041887963951010625,0.018470420502164766,0.0274302437189082,0.018848974045686025,0.041887963951010625,0.018212038089776623,0.026981706114332208,0.018848974045686025,0.041887963951010625,0.018212038089776623,0.026981706114332208,0.18673903903724617,0.7210202700154631,0.0,1.0,32.18822241900011,33.262192423,879161344,8.352028885010624,1500
