id,problem,variant,seed,reused,relative_l2,max_abs_error,q95_abs_error,q99_abs_error,model_sha256
sparse_noisy__m6__99,sparse_noisy,m6,99,False,0.5504303574129075,0.9840610200608751,0.7318957889699613,0.8822552686489367,07371fe691385edf3e30d8013c225191169658bd2441231b63a89005a5fcc893
sparse_noisy__m7__99,sparse_noisy,m7,99,False,0.5131681582197967,1.0851712112871243,0.7015450722842704,0.9495068703820417,347b22a87f2f41bb9dcd5f9ae221bfc804862dd7c0d4b2e8c5816fc5648097ca
sparse_noisy__vw__99,sparse_noisy,vw,99,False,0.505410067816448,1.063735040276774,0.705614430940778,0.9364923176279942,562b9dcc5cc8b06fc881776d591ba3362a2d3027d99bb7f178e6e403676eba74
sparse_noisy__m5__111,sparse_noisy,m5,111,False,0.635714699673389,1.1044024602552607,0.8054871925216602,1.0035303027038203,11122b2a33ccfff68051d544184545c49750866c651450d390066b69d8a491e8
sparse_noisy__m6__111,sparse_noisy,m6,111,False,0.6372914347898162,1.0242239298521842,0.7908019226631335,0.9304676147164679,ecb8ce570c124ea8bfe0c9fea56cf867da6747132f4a008e139af1074d7769e1
sparse_noisy__m7__111,sparse_noisy,m7,111,False,0.611585829849877,1.2719790561956386,0.7499790804733708,1.1636143863162993,319a04d1b03aca6e358079f64df9e4e55dcc906ee514710c40653dd32be3399b
sparse_noisy__vw__111,sparse_noisy,vw,111,False,0.4691349860496741,1.0809058289980487,0.5872679221409035,0.8514665475997771,fe9f20380c30a9a990627f719c4eeaf45cb5de1236d979b5a41aafa02279c3c4
block_missing__m5__111,block_missing,m5,111,False,0.5926687664472967,1.0143134673784362,0.8020090614976779,0.9333382430170278,8276213fa67725d265b6efd8434210e93baff12dbd133e6b624ea8c34fbac2d2
block_missing__m6__111,block_missing,m6,111,False,0.5942903981775112,0.9874821843096545,0.7897564176659706,0.9186661628024272,dac0d1b7eaaccf41f5eec553252981e73c891268243ad10ffdd85e6cf4f1e00b
block_missing__m7__111,block_missing,m7,111,False,0.5520467048730516,1.034752404614782,0.7463098285749116,0.9122096437322977,2e4e66c3961e2e458cdc0a1d2a53056306b0d39ed28d55d2ff3dcd913df59883
block_missing__vw__111,block_missing,vw,111,False,0.43346245468011574,0.908489830587949,0.5940331120887643,0.7783138473352074,fa44226fdd1d3d7ede2e00d6fd10c11b842cad3b276660d1f5cdd5f8cb1d5fca
extreme__m5__111,extreme,m5,111,False,0.6174171485938589,0.9506997143686149,0.7616793149090982,0.8862703969073213,e6418294bcfb6021663a700975b1d82956d1f8cfc2a7d0ee06dffa19e18d2384
extreme__m6__111,extreme,m6,111,False,0.6110171602363916,0.9531294611424157,0.756611923998347,0.8824052465996173,c1416cd209eb51cc191955d6163a907b7a7d86056740146a42426d168093bb1c
extreme__m7__111,extreme,m7,111,False,0.584511383335682,0.947781541574949,0.7418793761224136,0.8759393720605918,e7258e8833d987bfdebb825f6fa925a348d0b84f005096a808661f95f63633b0
extreme__vw__111,extreme,vw,111,False,0.5245647697368084,0.9419124037175235,0.7007925056219491,0.8580672391852413,6c13bf0418f27a32f68999864feace434fa406551c0aa39ac039c834198f75c5
sparse_clean__m5__111,sparse_clean,m5,111,False,0.6192618484073423,0.9814585929164125,0.7715163652251795,0.8993125423563959,37c8a2c92edfcd8a2097bda3cab9dc09bd6ca97b160036f1b0ca1f8897b978eb
sparse_clean__m6__111,sparse_clean,m6,111,False,0.6161906715628203,0.9720488163456181,0.7679684295570937,0.897916502899039,12de0888c4a297b5b23f821740b65f0f33c06331ba6bc15325541b1bdf7ce327
sparse_clean__m7__111,sparse_clean,m7,111,False,0.5572967213994838,1.015099597037199,0.6847142235791543,0.8377789089888698,29f7f827bd59672c027fd29c30e52e0901ff9e0bdde8cc20f1adc2c9ece94952
sparse_clean__vw__111,sparse_clean,vw,111,False,0.4573858399812009,1.0237108917455666,0.6174828068076837,0.858245688944622,9a6679e6fd22fe363eb2d6a9666b9523026838825990811274080ffa97bbb705
block_missing__full_exp__11,block_missing,vrba,11,True,0.34468774314175127,0.9457731382081814,0.5050540154944589,0.7558961628967482,2304e8feec527a99c05fa64c1c421d8773b248ff2de6303021181c70a55997d2
sparse_clean__full_exp__11,sparse_clean,vrba,11,True,0.35823934681641856,1.4311601750437084,0.5022364231285151,0.877943639595208,5b3557b4f1b47d3f293e6caa5c99198b693a35fe0051b92a984e8283439e2fcf
sparse_noisy__full_exp__11,sparse_noisy,vrba,11,True,0.36142548962127646,1.388218784870192,0.519600320859101,0.8576776598123776,16eb6d34d9e1201013f7acef71c0c0115bcfe8e1787e476f535d278c9cf83735
extreme__full_exp__11,extreme,vrba,11,True,0.43174544648152546,1.0145959976767174,0.6134571679584124,0.8735956984727291,b4a659f4573804ef63a0957650e638eedecc00f459436a1dc9d6665516b10019
block_missing__full_exp__22,block_missing,vrba,22,True,0.43523725073287306,0.9721313803564579,0.6823630702469474,0.8694714149359546,ef3d0ba5984c551e94354542e32e30573fa6982d7cea1cd96ee2b823f21c7ddf
sparse_noisy__full_exp__22,sparse_noisy,vrba,22,True,0.1891177468608644,0.7725970751724913,0.22986822895271308,0.5315680395002618,e81ddd0d5b18f0b27d11107c2f1fc4d4a0475689bde3c2e91a902c925c8eeba3
sparse_clean__full_exp__22,sparse_clean,vrba,22,True,0.16606058390488337,0.5421809273573853,0.22407440050820193,0.42601667062469295,6033a043f0d1e843d96ceb674cf805a667d09c18432bba214a2c2bf72e5cb90e
extreme__full_exp__22,extreme,vrba,22,True,0.4888300527699282,1.0319226605914253,0.6841682868914637,0.8866025914796605,8a9b6d26420864f82b5cfa6b66c5a41d961ac8a30557db373e98ec8346470db6
sparse_clean__full_exp__33,sparse_clean,vrba,33,True,0.3435270110730253,1.2695361568386228,0.40978132419087493,0.9650490698246412,a9fcd70a89b70579dc818ea761192d4a9e35ed42160995b91a82e5e8eb656cbe
sparse_noisy__full_exp__33,sparse_noisy,vrba,33,True,0.5441457667980405,1.7202891965386584,0.7647429628513424,1.6316264521074366,461a34f0037242fc58de416f3e3de1d40330b4ab8dfb79b870d318bb94fc614c
extreme__full_exp__33,extreme,vrba,33,True,1.2385081829918676,2.993524300163219,1.8373236392667844,2.410508827941649,7776d95eff41bfb5453d0d0316ce64e2829b48070fbb0d328c48de73880c0f46
block_missing__full_exp__33,block_missing,vrba,33,True,0.4058257238275803,1.1716662135928275,0.5474877790748203,1.0377115190198323,ca2a7d991cf775a1c86fce12d608e5bcc2c91846bc60fd500bc1936937662a00
sparse_clean__full_exp__44,sparse_clean,vrba,44,True,0.5071565257798529,1.7537406035392793,0.4244261402733868,1.6161885353829133,747b2211c50ffd8e0700a9056ab1c2882c574a6563906ca5294bba6057cff485
extreme__full_exp__44,extreme,vrba,44,True,0.456056047812833,0.9403777833844523,0.6399730347779746,0.8313241527904847,195d6554eee4bda5f0cef4042300433f161c4cc525f844bd3d16e6ceca4bd342
sparse_noisy__full_exp__44,sparse_noisy,vrba,44,True,0.5276369030908712,1.7538810758953702,0.5115592146605441,1.6524696874349936,6d0d4691503da021373de219eeb0f1d050c3002efe645948e23a3f07244bd0c8
block_missing__full_exp__44,block_missing,vrba,44,True,0.37559745833990127,1.0333303954359216,0.5465342197724802,0.780944428664064,b66e476d46b585a839e2ec2f919aa69a4046eb38d6eb682c2297ee0218bc4bd4
sparse_noisy__full_exp__55,sparse_noisy,vrba,55,True,0.43664682394612286,1.4104673521546776,0.6469456817846833,1.0166942708130564,22c624e24878aaef9edc4601b07ee5897925356c6204675eb6ff648ec360f863
sparse_clean__full_exp__55,sparse_clean,vrba,55,True,0.4301015034890704,1.4730220493115942,0.6565277841444819,0.9928989893849196,fda1b9c34f7f191e88c7584e78ecea88abdb0a22198ac184bca98a830d61303f
extreme__full_exp__55,extreme,vrba,55,True,0.49692821247519314,1.0089346660333023,0.6948204311682005,0.8729832947590712,b7d8392c156cdd3ebc55df514c34c46a77b3050a26eb4792ff93eb3d8a00782f
block_missing__full_exp__55,block_missing,vrba,55,True,0.4121026602868302,1.2138747518035777,0.6778687973729393,0.925871212570958,17274691993484fbb797b064d0a91e7cdf9f92be4d33fcb4268adc1cc04a585d
sparse_noisy__full_exp__66,sparse_noisy,vrba,66,True,0.3886745810160684,1.3556472959226267,0.5570129238757291,1.1386490186240927,13772ff5084413ac8f9ca0993f593ffd670ec3101d750c2c5e32e0507eaf0537
extreme__full_exp__66,extreme,vrba,66,True,0.4231623638018863,1.0800784885588746,0.6167664939814796,0.9341954603324947,3b84056044e6d581eaa7683e07945dfbce1bc61bcde498f850ea354455d55f67
block_missing__full_exp__66,block_missing,vrba,66,True,0.33213702675429846,1.0212422783175465,0.49466001350321076,0.8030445716239859,e927b34b0bf331ad0a2a99330126872e82e07170cde3882ed56c289ea23b043a
sparse_clean__full_exp__66,sparse_clean,vrba,66,True,0.4171853807429746,1.3854778877421952,0.4958160194644864,1.2630360167656824,4b807c51113aee885ec952d960c91db3fe250f2a491f2715c47e08b56591a844
sparse_clean__full_exp__77,sparse_clean,vrba,77,True,0.29789419214972773,0.7552442601035947,0.4405143923681634,0.5715459485082033,b5c31e452d20052bb40c6294325d4ce4c6b4d01a0a184ff6159aa93bcb4f78bc
block_missing__full_exp__77,block_missing,vrba,77,True,0.2614798814978381,0.93293742603386,0.36391750170185205,0.6224731995310215,de7cac3503d72a9894912e279acf55f91e80a990454c0bf70ae76c8cde428deb
extreme__full_exp__77,extreme,vrba,77,True,0.9681295980849398,2.430417345406107,1.5197561714647978,2.126591802060548,350c5b013be894caa585f2d7fe830c34aeb60bf7e1957d6197c727cda46452e6
sparse_noisy__full_exp__77,sparse_noisy,vrba,77,True,0.2976608722825139,0.7830805832559717,0.4542995709673435,0.617872914658487,1f48fc1771790374e330059d0bd054878a5b185f970d9140196f9425ed7d8882
extreme__full_exp__88,extreme,vrba,88,True,0.4616109154072718,1.283182666910764,0.5943244954113929,1.0812304777749595,43512216052fd48d5aecf378bf785ab4ae84abd5dafe6ee16405d1cfcbc1a782
sparse_clean__full_exp__88,sparse_clean,vrba,88,True,0.2559783441890592,1.0233635846478333,0.4092020715150667,0.6341131508043335,1a4204cabe1331a56f6d372f54e82d1106144508750efef87665f7ae93540a1c
block_missing__full_exp__88,block_missing,vrba,88,True,0.33893682122877117,0.8821623029357861,0.4718170055383475,0.7246752901733762,3e61973ea0c6f9b31663fcdec0f1019ce264f8fc8daebaf91c32ac8872d6f145
sparse_noisy__full_exp__88,sparse_noisy,vrba,88,True,0.22911200752841643,1.1754878702410823,0.3665964367096347,0.5577133122300696,a65d819e64fe329639369433ac1ac6d79706a287505938fc817d370d881c9fa1
block_missing__full_exp__99,block_missing,vrba,99,True,0.3432792301215339,1.0567071381970037,0.4507136174409847,0.8076455272859542,5b018aad89724664289f0d4264d7c8f766a23a55dc769d80f536098b6616c603
extreme__full_exp__99,extreme,vrba,99,True,0.40944765483116535,0.9175088096751016,0.600176558251923,0.811544644994295,0d70a00937d17af1ee54d0cb2272caca364d72121a745963e624fd986062d189
sparse_clean__full_exp__99,sparse_clean,vrba,99,True,0.390606519948514,1.06132094372949,0.5900765682740763,0.9258808450888865,3123256d740702b475ea5e527a845ba6e0dd1fda5005ea7961f2bd6ca9b012dd
sparse_noisy__full_exp__99,sparse_noisy,vrba,99,True,0.36338575222771863,1.031745015737648,0.5134443732740387,0.8480951716201973,683db1eba66be8ccf62dac6a667f6964f10d22fe18f65ab1ff0e23bcc3724624
sparse_noisy__full_exp__111,sparse_noisy,vrba,111,True,0.4743165609437038,2.0819975088055345,0.4327827393021677,1.6585997466691498,84b1dce7f46dfea59deb6387d821a577113ce59186dfe7a59436ec38ba1242e4
block_missing__full_exp__111,block_missing,vrba,111,True,0.3080844675279662,1.4243036444386026,0.36472965201205343,0.912884266616986,12aa5cb00e31e717cef7e19a7cbc430b293e4b4792cae260b3ea8f29e43e08bc
extreme__full_exp__111,extreme,vrba,111,True,0.3661204209208435,0.9487302254133112,0.5306668519800452,0.7855714814823176,e069458283930c1728b103999320905776e4e2c2043acbf4060158b6f16f8f79
sparse_clean__full_exp__111,sparse_clean,vrba,111,True,0.3790831318088476,1.7258988011475282,0.2959295033848134,1.4211346738297568,de94502bbd9d4578a0fd856f648231ae323b2f3fb74484757facf2a58c6190fc
