id,problem,variant,seed,relative_l2,max_abs_error,q95_abs_error,q99_abs_error,dense_relative_l2,dense_max_abs_error,dense_q95_abs_error,dense_q99_abs_error,steps,elapsed_seconds,model_sha256
sparse_noisy__full_exp__55,sparse_noisy,full_exp,55,0.43664682394612286,1.4104673521546776,0.6469456817846833,1.0166942708130564,0.440939182883302,1.4111502016066466,0.6611959622910405,1.047875295984677,600,4.169159236000269,22c624e24878aaef9edc4601b07ee5897925356c6204675eb6ff648ec360f863
sparse_clean__full_quad__55,sparse_clean,full_quad,55,0.45417761600782014,1.503474934476321,0.6966029469364231,0.9982906174040549,0.45841713864327005,1.503474934476321,0.7084004308274091,1.0157899338792544,600,3.646116448999237,095849e81f3c5f5937a0b2acb9eba748bb5229dcf001590cedc612c8aea7c3e8
sparse_clean__full_exp__55,sparse_clean,full_exp,55,0.4301015034890704,1.4730220493115942,0.6565277841444819,0.9928989893849196,0.434460530074872,1.4730220493115942,0.6623692480538569,1.02975596168416,600,3.5508834360007313,fda1b9c34f7f191e88c7584e78ecea88abdb0a22198ac184bca98a830d61303f
sparse_noisy__local_only__55,sparse_noisy,local_only,55,0.44087959717858083,1.4175038150304275,0.6529746392338178,1.0204613678875116,0.44514452764022067,1.4182562270143162,0.6686754532756713,1.0538347624268913,600,2.239058398998168,96c279b928c7d70335b04e3e7cbb3fcd7666cfd426579d198902670fd08ad8f2
block_missing__global_only__55,block_missing,global_only,55,0.4832997552594607,1.1396121817730795,0.7113008356950764,1.0174492782523965,0.4870997433793763,1.1396121817730795,0.71643016117359,1.0281822602981536,600,3.810795937999501,d6030a26c488004fef5d5fd4b8b859e788723b90a905c6bcf7fedd0d8bf804b7
extreme__full_exp__55,extreme,full_exp,55,0.49692821247519314,1.0089346660333023,0.6948204311682005,0.8729832947590712,0.5005152815781748,1.0091379799839932,0.7015307159527455,0.8798033562963653,600,3.886795547001384,b7d8392c156cdd3ebc55df514c34c46a77b3050a26eb4792ff93eb3d8a00782f
sparse_noisy__global_only__55,sparse_noisy,global_only,55,0.5167013982791124,1.2616001374005306,0.7828392958160908,1.1443748251083883,0.5199993133675934,1.2616001374005306,0.793633086030882,1.1452639615417934,600,3.874284124998667,a1308000957d1d55af490ee11092cbe30460f0fadc01cbba5d19b89cda5ea41c
sparse_noisy__full_quad__55,sparse_noisy,full_quad,55,0.4626488425314182,1.4852294952759637,0.7351562832568475,0.986952251147869,0.4669515822736733,1.4852294952759637,0.7411656560419893,1.0267296346143637,600,3.8536117100011325,7c6e0a9f49a57b5a14edf9743e606751b838b1bbe7bed6df469c7f52aea6da5e
block_missing__full_exp__55,block_missing,full_exp,55,0.4121026602868302,1.2138747518035777,0.6778687973729393,0.925871212570958,0.4168602271602637,1.2138747518035777,0.6877357383746323,0.944009526829813,600,3.927514216997224,17274691993484fbb797b064d0a91e7cdf9f92be4d33fcb4268adc1cc04a585d
extreme__neither__55,extreme,neither,55,0.5533503298979163,1.0326738236526258,0.7319785748244321,0.9182936952987679,0.5562081628859498,1.0328121134536143,0.7408831643045136,0.9223076049446952,600,2.535987595001643,c3f97ef0e7ffcca779f487637704eed17b939bbb472978cb82b8ae0b8de7fef8
extreme__global_only__55,extreme,global_only,55,0.5578150562407351,1.0358842094888678,0.7349843748189353,0.9224557169958256,0.5606205553682723,1.0360717928994434,0.7434345481882321,0.9268302638163843,600,3.4961384420021204,ea66d165160e5154082f66d76e68a8a72656ce85260472f6a68a60233a2d74c1
block_missing__full_quad__55,block_missing,full_quad,55,0.4097727710310685,1.2621468074228859,0.6984404195956255,0.8457575504317352,0.41451203722471497,1.2621468074228859,0.7112574568854961,0.8613710296890905,600,3.7686978160018043,ccfb3d24b2e96606b62ba8514fa6030fa8e467adbfddf642ef535aa82384c92d
block_missing__neither__55,block_missing,neither,55,0.4848261088578593,1.1383573985855397,0.7113713590789619,1.0137319885136598,0.4886271418278937,1.1384292995396343,0.7175715198948474,1.028416091530954,600,2.156620182999177,20e3cd1376f3731fa9fe765cbcf3ea2acb9408e2669d15734831d10fa993b6cc
extreme__global_only__66,extreme,global_only,66,0.45586568599680216,0.9900188449503091,0.6488658252015488,0.8594625880697685,0.45975448094448085,0.990368973260051,0.6589414198243494,0.8584483677457019,600,3.3091421629978868,4278d2716fd3de127decf504a685b221f7ef579bce53462873354410a224b07d
