experiment,label,problem,method,n_success,n_expected,relative_l2_median,relative_l2_q1,relative_l2_q3,relative_l2_ci_low,relative_l2_ci_high,max_abs_error_median,max_abs_error_q1,max_abs_error_q3,max_abs_error_ci_low,max_abs_error_ci_high,controller_weight_tv_per_update_median,controller_weight_tv_per_update_q1,controller_weight_tv_per_update_q3,controller_weight_tv_per_update_ci_low,controller_weight_tv_per_update_ci_high,temporal_mean_gradient_distribution_tv_median,temporal_mean_gradient_distribution_tv_q1,temporal_mean_gradient_distribution_tv_q3,temporal_mean_gradient_distribution_tv_ci_low,temporal_mean_gradient_distribution_tv_ci_high,temporal_mean_physics_gradient_log_gap_median,temporal_mean_physics_gradient_log_gap_q1,temporal_mean_physics_gradient_log_gap_q3,temporal_mean_physics_gradient_log_gap_ci_low,temporal_mean_physics_gradient_log_gap_ci_high,elapsed_seconds_median,elapsed_seconds_q1,elapsed_seconds_q3,elapsed_seconds_ci_low,elapsed_seconds_ci_high,residual_evaluations_median,residual_evaluations_q1,residual_evaluations_q3,residual_evaluations_ci_low,residual_evaluations_ci_high,importance_effective_sample_fraction_median,importance_effective_sample_fraction_q1,importance_effective_sample_fraction_q3,importance_effective_sample_fraction_ci_low,importance_effective_sample_fraction_ci_high,importance_weight_mean_median,importance_weight_mean_q1,importance_weight_mean_q3,importance_weight_mean_ci_low,importance_weight_mean_ci_high,importance_weight_max_median,importance_weight_max_q1,importance_weight_max_q3,importance_weight_max_ci_low,importance_weight_max_ci_high,kde_pairwise_distance_evaluations_median,kde_pairwise_distance_evaluations_q1,kde_pairwise_distance_evaluations_q3,kde_pairwise_distance_evaluations_ci_low,kde_pairwise_distance_evaluations_ci_high,vrba_attention_effective_sample_fraction_median,vrba_attention_effective_sample_fraction_q1,vrba_attention_effective_sample_fraction_q3,vrba_attention_effective_sample_fraction_ci_low,vrba_attention_effective_sample_fraction_ci_high,vrba_multiplier_mean_median,vrba_multiplier_mean_q1,vrba_multiplier_mean_q3,vrba_multiplier_mean_ci_low,vrba_multiplier_mean_ci_high,vrba_multiplier_max_median,vrba_multiplier_max_q1,vrba_multiplier_max_q3,vrba_multiplier_max_ci_low,vrba_multiplier_max_ci_high
extreme_noise,"Burgers — vRBA, une observation et bruit fort",burgers,m5,10,10,0.5996930888839077,0.5762586337451213,0.6703386890693085,0.5737589739171175,0.7669479469120295,1.009525436368515,0.9442630699463396,1.2297330374047413,0.9315489155658812,1.36447965127206,0.0680468425113229,0.05648713580669167,0.09978063119158356,0.05608968960081159,0.1120376418542845,0.07273426044058767,0.06805579356593924,0.085673622054118,0.06351848762946491,0.09461388911417187,0.3870565928011705,0.35526974986157867,0.43751468390998893,0.34149223170249343,0.46126363982582963,2.750908153499495,2.5157893884997975,2.8332918500000233,2.4702699279996523,2.8341278019997844,197376.0,197376.0,197376.0,197376.0,197376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extreme_noise,"Burgers — vRBA, une observation et bruit fort",burgers,m6,10,10,0.5972746317923958,0.5829546873322898,0.6686326981390655,0.5684005660179493,0.7351474134934313,1.0078936214330998,0.939635711925618,1.214582763872646,0.9305107801791848,1.291099621508995,0.06837807029078506,0.05568889214930714,0.10036092582240386,0.05410760832399786,0.10164572222375548,0.07300604108748958,0.0689927876612649,0.08867070346179134,0.06493584247672428,0.0952864574777427,0.42017787161873893,0.34814493624025383,0.44393226203458735,0.3388606006476998,0.466760875313663,2.396654284000306,2.3639057570001114,2.483005249499911,2.3554223410001214,2.4961471090000487,197376.0,197376.0,197376.0,197376.0,197376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extreme_noise,"Burgers — vRBA, une observation et bruit fort",burgers,m7,10,10,0.5775624150531675,0.5562527829746844,0.6404988487667237,0.5397454674930059,0.7561569644619885,0.992947770316087,0.9328637949502433,1.2393422454798046,0.9240728556495913,1.3718015192599506,0.07208567239362276,0.058319003677775975,0.09968040464143783,0.057246393608885726,0.11434347206219012,0.04602803572486418,0.03882776915283387,0.057108139523119335,0.034510244557033304,0.060401288214896605,0.1107498853835014,0.08701378363376852,0.1459295199889897,0.08183567598526346,0.1536553559625874,1.973354484500021,1.9430559032500128,3.078071818250038,1.9390581860000111,3.1049264669999843,197376.0,197376.0,197376.0,197376.0,197376.0,0.5957745648267158,0.5622113190282575,0.6379714650157552,0.5565914568392621,0.6471360253247612,1.022471693160199,0.9985781915281627,1.0467498455428847,0.9653278487295649,1.0524114850456376,4.900523717279123,4.722802800155722,4.937626526070346,4.6693630000038535,4.948085559591377,,,,,,,,,,,,,,,,,,,,
extreme_noise,"Burgers — vRBA, une observation et bruit fort",burgers,vw,10,10,0.5457012755719833,0.5288881800462797,0.6584544639895965,0.5205799758652971,0.7122534343032042,1.024521569157784,0.9667062886791992,1.3122384918819934,0.9534410453302122,1.4941037005271474,0.0,0.0,0.0,0.0,0.0,0.07297396267894846,0.053412748079268525,0.0851964523838344,0.0521522099110928,0.08764016010553555,0.23071898001716987,0.13525637618627093,0.26819437174353594,0.1289521437702522,0.27244414050799565,2.1197311969999646,2.0846389602497766,2.142053041250051,2.0820225489999302,2.143157899000016,190976.0,190976.0,190976.0,190976.0,190976.0,0.781464813103119,0.7501159713917849,0.803674277137158,0.7437605907872173,0.8092664854174053,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,3.8854533557483997,3.5248720332102232,5.138182208393845,3.48129034260272,5.234986774745961,,,,,,,,,,,,,,,,,,,,
extreme_noise,"Burgers — vRBA, une observation et bruit fort",burgers,vrba,10,10,0.4468831641705643,0.41874123555528187,0.4872618338128764,0.41169838265593955,0.7238049936903624,0.9549591173773715,0.8815992552780922,1.1410942362820458,0.864852370742079,1.7076024354105102,0.0009639049518291615,0.0005837669355086002,0.0014375809859762316,0.0005465661677203326,0.0015096161109907603,0.2392272965729838,0.19860688406784338,0.29357527402972405,0.1960110098835084,0.3029677531417602,0.8601356716481126,0.7599543702828969,0.9382727691617976,0.7228011826986005,0.9446416722726089,3.537882732500293,3.4823215904999643,3.5723942639999677,3.470905030999802,3.6132270465000147,166400.0,166400.0,166400.0,166400.0,166400.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8655216582392835,0.8386229791428786,0.8932251441767913,0.8355963141115651,0.8977053957322492,1.732992691387374,1.7041823789105122,1.7431039536143587,1.7000463304874054,1.7541842700293904,3.2469073407870392,3.1648062083145,3.611920164406804,3.15343464097765,3.707373475551427
block_missing,"Burgers — vRBA, bloc de capteurs manquant",burgers,m5,10,10,0.5570814758597799,0.5275637500108454,0.5858344131635302,0.5253396290668618,0.5935081901431327,0.9428785571163281,0.9359193948896867,0.9730952745533197,0.9323703634213865,0.9807712354986962,0.06294513646493952,0.05707091226152435,0.08987393431061948,0.05647570257854034,0.09628701258737454,0.0795951250263818,0.05970108946496625,0.11144131633484711,0.0572367903457719,0.11428095926831716,0.46001576331566074,0.40625984361479583,0.5122233815950593,0.3798377722546896,0.5133690038142571,2.226327781000009,2.1928276170000203,2.2615934564999947,2.181311456000003,2.2704090839999935,197376.0,197376.0,197376.0,197376.0,197376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block_missing,"Burgers — vRBA, bloc de capteurs manquant",burgers,m6,10,10,0.5541560218420136,0.5321255085421694,0.5659084784400787,0.5292047984804025,0.5830111641722214,0.9483244001832503,0.9415368483031394,0.9726067531200031,0.9300711546873006,0.974167490562994,0.062465910815775835,0.0526386413471704,0.09095979184556428,0.051671905432891574,0.10105256528065185,0.07890847489401831,0.06262324544295288,0.11153290221050079,0.05900824663031838,0.11402068931435892,0.4564255556463076,0.41364611960630976,0.5328513600620594,0.3799688638368347,0.5404856432918694,2.353953285000017,2.248488012750016,2.385288954999993,2.2392887930000143,2.3995874169999922,197376.0,197376.0,197376.0,197376.0,197376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block_missing,"Burgers — vRBA, bloc de capteurs manquant",burgers,m7,10,10,0.5286785214720037,0.49588637539043123,0.5421863503798413,0.48893537018806354,0.5611410719862835,0.9629576713267736,0.9170813785131502,0.9794227766290721,0.9147629595489668,0.9818871305528081,0.06413951580046214,0.059339618751841905,0.09470724463012967,0.058391274903771925,0.1013947082507076,0.046576914796889524,0.03829747076457534,0.05472546035548342,0.03634531474880189,0.05663643391000406,0.10770919898155992,0.0678801969807998,0.15201365300163489,0.06569675957217112,0.15828246379229832,2.5198546610000676,1.9639480729999832,3.142744146750033,1.9519169169999486,3.1455060580000236,197376.0,197376.0,197376.0,197376.0,197376.0,0.608459574083849,0.5530967270581287,0.6449344970097877,0.5375812674962508,0.6489117560654167,0.9570463138670934,0.9442510888871603,0.9831169437154563,0.9424038797203582,1.0115241933854042,4.654968708432808,4.427186806868553,4.811980975425005,4.282530431274121,4.847831574753676,,,,,,,,,,,,,,,,,,,,
block_missing,"Burgers — vRBA, bloc de capteurs manquant",burgers,vw,10,10,0.49244703995335937,0.48529551034068363,0.5007428862239791,0.48416277906893596,0.5015074134958883,0.9143203423156268,0.8839039959047356,0.9381760887557775,0.8826513993312737,0.9415997029861968,0.0,0.0,0.0,0.0,0.0,0.07784240332021199,0.06510636281236855,0.08764111164668334,0.06331113168345616,0.09047903839314655,0.2867380636585054,0.21819328220050457,0.299554326120596,0.1997095129575416,0.3021692616245705,2.127524914000105,2.1094452945000057,2.155205490999947,2.0586584865000077,2.158061747999909,190976.0,190976.0,190976.0,190976.0,190976.0,0.7887480957541316,0.7663963425940301,0.8099030670289833,0.7630630547192259,0.8121386402032597,1.0,1.0,1.0,1.0,1.0,3.75473664515689,3.644963392128055,4.171025908874655,3.471261470790844,4.407378832465513,,,,,,,,,,,,,,,,,,,,
block_missing,"Burgers — vRBA, bloc de capteurs manquant",burgers,vrba,10,10,0.3321621134813654,0.32361500939386884,0.39001470955322415,0.31330901391730237,0.3989282767719085,0.9206224804940364,0.842425927908108,1.044654116003068,0.8252181375280616,1.080211440009129,0.0009729765742916716,0.0008758525819666695,0.0010401961191096555,0.0008647172512492221,0.0010519026378732314,0.1738511710949004,0.14572636011314372,0.2329096706111428,0.14218922137048662,0.24157535149886208,0.7932416570316028,0.663180486543794,0.8392672851638467,0.649933894743141,0.8818212876380849,3.6593381754998973,3.59441158050015,3.7097544120002794,3.575640408000254,3.750362887999927,166400.0,166400.0,166400.0,166400.0,166400.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9245288705006415,0.90912752970431,0.9283580538784367,0.9037479518890517,0.9299411555976651,1.6892344796218228,1.6721869823604787,1.7033841994561074,1.6696826276495047,1.7128501581245872,3.0481621197343753,2.8423510789479036,3.1909363588089414,2.7938783608652478,3.2254941846737006
