experiment,label,problem,method,seed,status,failure_reason,relative_l2,max_abs_error,controller_weight_tv_per_update,temporal_mean_gradient_distribution_tv,temporal_mean_physics_gradient_log_gap,elapsed_seconds,residual_evaluations,importance_effective_sample_fraction,importance_weight_mean,importance_weight_max,kde_pairwise_distance_evaluations,vrba_attention_effective_sample_fraction,vrba_multiplier_mean,vrba_multiplier_max,bias_concentration_correlation,n_observations,noise_kind,noise_level,run_dir
burgers_long,Burgers — vRBA confirmatoire,burgers,m7,55,succeeded,,0.9017866032764711,1.7105064824595573,0.04034480818798802,0.061390797641689705,0.2641124235399715,15.398238381999931,1371136,0.4714663261602795,0.9632921028794061,4.806151632640937,,,,,0.41392821077517256,0,none,0.0,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/burgers_confirmatory_long_v1/m7/seed_00055
burgers_long,Burgers — vRBA confirmatoire,burgers,m7,66,succeeded,,0.6969020286417418,1.7437409237731434,0.04949505046033472,0.07249781596180005,0.3116224216429365,15.319808113000022,1371136,0.43378437761586636,1.0265305491698218,4.972442399688593,,,,,0.5667275693396154,0,none,0.0,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/burgers_confirmatory_long_v1/m7/seed_00066
burgers_long,Burgers — vRBA confirmatoire,burgers,m7,77,succeeded,,0.39716598100282424,1.194542575242712,0.052621844582829445,0.07855405746157375,0.24388834372987192,15.512176704000012,1371136,0.4153275516668461,1.0126366386573182,4.929269758674006,,,,,0.6357279512871934,0,none,0.0,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/burgers_confirmatory_long_v1/m7/seed_00077
burgers_long,Burgers — vRBA confirmatoire,burgers,m7,88,succeeded,,0.21854282197470057,1.4394249285896294,0.03235855908293879,0.04610377151993307,0.17276349578974845,15.506763120999949,1371136,0.4673947395059177,1.0313452130749439,4.974691952285001,,,,,0.3803307412294415,0,none,0.0,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/burgers_confirmatory_long_v1/m7/seed_00088
burgers_long,Burgers — vRBA confirmatoire,burgers,m7,99,succeeded,,0.41238910176328747,1.5838258142616657,0.08319116164755501,0.12615210816998065,0.5421843576035258,14.975811437000061,1371136,0.48978179992594856,1.0075523895752272,4.973918255485099,,,,,0.5953165340134259,0,none,0.0,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/burgers_confirmatory_long_v1/m7/seed_00099
burgers_long,Burgers — vRBA confirmatoire,burgers,m7,111,succeeded,,0.48801530678034,1.414951996860765,0.08273294722776892,0.07724361381979447,0.3390549077435473,15.11447499999997,1371136,0.4751115317046111,1.004370891367815,4.9354682879723635,,,,,0.42225164113838004,0,none,0.0,/workspace/scratch/a5f0879dfaa7/recoa-pinn/outputs/burgers_confirmatory_long_v1/m7/seed_00111
burgers_long,Burgers — vRBA confirmatoire,burgers,vrba,11,succeeded,,0.6841781414961097,1.9572006005719664,0.003604543513176661,0.23501427229185376,0.7659024753566459,30.713706101999833,1306624,1.0,1.0,1.0,0,0.954125002267444,2.0238750137868857,3.5686456874023196,0.47263289207011544,0,none,0.0,/workspace/scratch/a5f0879dfaa7/recoa-pinn-v06/outputs/burgers_confirmatory_long_v1/vrba/seed_00011
burgers_long,Burgers — vRBA confirmatoire,burgers,vrba,22,succeeded,,0.3740432567284849,1.6907095607870846,0.004850976166361639,0.23963677177742723,0.7169737966969324,29.918688269999848,1306624,1.0,1.0,1.0,0,0.8526704453872355,2.0549548588522772,4.787705040106265,0.35476329632133946,0,none,0.0,/workspace/scratch/a5f0879dfaa7/recoa-pinn-v06/outputs/burgers_confirmatory_long_v1/vrba/seed_00022
burgers_long,Burgers — vRBA confirmatoire,burgers,vrba,33,succeeded,,0.235759963814887,1.6310793945192685,0.002276434450386774,0.28270761397314204,1.5930604060044629,30.147904477999873,1306624,1.0,1.0,1.0,0,0.927693597299708,2.016065714638923,3.7104765917267852,0.256590392386934,0,none,0.0,/workspace/scratch/a5f0879dfaa7/recoa-pinn-v06/outputs/burgers_confirmatory_long_v1/vrba/seed_00033
burgers_long,Burgers — vRBA confirmatoire,burgers,vrba,44,succeeded,,0.34184569956155547,1.8616389276334044,0.0017668685617189355,0.37329639182022023,2.466257015528233,29.742004093000105,1306624,1.0,1.0,1.0,0,0.9244239433451252,2.0117374830685657,4.639898656706307,0.48816165103809767,0,none,0.0,/workspace/scratch/a5f0879dfaa7/recoa-pinn-v06/outputs/burgers_confirmatory_long_v1/vrba/seed_00044
